#peak_xpix[arcmin] peak_ypix cluster_xpix cluster_ypix SN coresize[arcmin] M500c redshift nmatch
762.194824 136.633301 761.879797 137.322121 5.825347 3.000000 1.85529e+14 0.723037 1
7.712402 370.480957 7.495020 370.581123 5.067655 0.250000 1.92288e+14 0.672407 1
19.138184 410.471191 19.312020 410.360355 4.843725 0.250000 2.00495e+14 0.445582 1
19.709473 656.887207 19.537441 657.031424 4.828080 0.250000 1.71722e+14 0.696209 1
31.896973 612.517090 32.144581 611.980205 4.654773 0.250000 7.70567e+13 0.670081 1
85.788574 612.326660 86.061300 612.009076 6.589697 0.250000 3.54607e+14 0.542963 1
94.929199 565.290527 95.128799 565.234784 6.352304 0.250000 2.31348e+14 0.764975 1
135.871582 570.812988 136.095962 570.414788 4.919111 0.250000 1.44833e+14 1.271908 1
138.537598 255.461426 139.254185 255.466377 5.080879 0.250000 1.11303e+14 0.891285 1
164.055176 181.384277 163.968481 181.499762 8.820184 0.250000 2.96855e+14 0.754114 1
187.287598 61.032715 187.690622 61.924982 5.237360 0.250000 1.3513e+14 1.106186 1
190.524902 666.027832 190.997036 665.731541 4.670753 0.250000 2.21239e+14 1.350818 1
205.759277 160.627441 206.409835 160.667517 8.412827 0.250000 4.0967e+14 0.657461 1
218.898926 469.694824 219.284527 469.869679 4.624063 0.250000 1.43299e+14 1.370762 1
249.748535 77.600098 249.719338 77.900939 5.103635 0.250000 1.37513e+14 1.379939 1
317.541504 121.589355 317.211181 121.980304 5.153054 0.250000 2.31206e+14 0.568968 1
359.816895 516.540527 359.957508 516.458284 6.895754 0.250000 3.12643e+14 0.552688 1
396.188965 548.723145 396.327370 548.824357 5.329682 0.250000 2.38048e+14 0.586370 1
423.610840 184.050293 423.964316 183.823379 6.644104 0.250000 1.16411e+14 0.822833 1
436.940918 128.635254 437.113541 128.962857 5.400799 0.250000 1.63623e+14 1.117089 1
440.559082 448.747559 440.565079 448.609990 6.204466 0.250000 1.36934e+14 1.863900 1
445.510254 348.010254 445.813658 347.868292 6.260679 0.250000 3.12053e+14 0.787614 1
457.507324 111.306152 457.716490 111.565738 6.899361 0.250000 3.18586e+14 0.911583 1
479.406738 667.170410 479.912939 666.923400 4.840904 0.250000 2.29874e+14 0.776501 1
497.497559 694.782715 497.486354 694.515899 7.031142 0.250000 2.33666e+14 0.462335 1
498.068848 594.616699 497.787434 593.927879 5.235707 0.250000 1.91331e+14 0.391046 1
532.346191 349.724121 532.408490 350.252754 5.000240 0.250000 1.66515e+14 0.553571 1
540.915527 591.569824 540.909716 590.893697 4.623849 0.250000 1.12753e+14 0.302188 1
614.230957 244.797363 613.601042 245.569729 4.617894 0.250000 8.70526e+13 0.297043 1
622.038574 520.920410 621.852654 520.910507 5.057190 0.250000 2.29308e+14 0.835299 1
670.217285 310.876465 669.976319 310.831554 6.460821 0.250000 2.03731e+14 1.150552 1
672.502441 386.667480 672.050357 386.423702 4.890156 0.250000 1.15303e+14 1.278647 1
